product_att_01,product_att_02,product_att_05,product_att_01_desc,product_att_02_desc,product_att_05_desc,store_cluster,week_start_date,total_quantity,unit_price_mean,unit_price_median,discount_frac_mean,discount_frac_wavg
1.0,1.0,3.0,Ayakkabı,Ayakkabı,Krampon,0,2023-05-29,156,1242.2763414634146,1156.48,0.003579929599780007,0.0013975772997508818
1.0,1.0,4.0,Ayakkabı,Ayakkabı,Halı Saha Ayakkabısı,0,2024-03-04,156,1340.329534883721,1271.82,0.011904993369793108,0.00812801250951563
2.0,32.0,13.0,Giyim,Eşofman,Eşofman Altı,3,2025-04-21,156,1491.6192857142855,1514.7800000000002,0.02097334674703845,0.013733442281310676
3.0,17.0,54.0,Aksesuar,Çorap,Çorap,3,2025-04-28,156,259.3528205128205,281.81,0.15492944039777717,0.057551798840891
2.0,96.0,20.0,Giyim,Mont,Mont,2,2025-01-27,156,1784.8276027397262,1040.82,0.025567402444545487,0.02851850984451491
3.0,18.0,62.0,Aksesuar,Aksesuar,Aksesuar,0,2025-07-21,155,169.41045161290322,157.5,0.005846805514706578,0.005554568800418401
2.0,23.0,22.0,Giyim,Polo Tişört,Polo Tişört,2,2024-03-18,154,503.3641477272727,499.95,0.0539452269802633,0.04231971339997309
1.0,924.0,10.0,Ayakkabı,Terlik & Sandalet,Sandalet,2,2024-07-08,154,834.5665359477124,984.69,0.00345035734590074,0.004409393518976407
2.0,32.0,13.0,Giyim,Eşofman,Eşofman Altı,3,2024-11-25,154,1193.5947311827956,1327.27,0.025380066905088206,0.02522650670599806
2.0,29.0,24.0,Giyim,Şort,Şort,2,2023-04-24,154,281.4945544554456,231.39,0.02301078937109494,0.025813753554898847
1.0,1.0,2.0,Ayakkabı,Ayakkabı,Koşu Ayakkabısı,3,2024-10-21,154,2296.7713253012053,2272.72,0.01228379853973964,0.009201410551087414
1.0,924.0,10.0,Ayakkabı,Terlik & Sandalet,Sandalet,3,2025-06-09,154,1679.1872289156631,1454.45,0.003747449017170267,0.0023574477057528454
1.0,1.0,75.0,Ayakkabı,Ayakkabı,Sneaker,1,2023-06-26,154,618.2806493506494,658.34,0.054315211515100555,0.03817316863402217
2.0,923.0,19.0,Giyim,Mayoşort & Mayo,Mayoşort & Mayo,0,2024-08-19,154,900.2616883116882,909.08,0.035260398454775854,0.029750565814317738
2.0,923.0,19.0,Giyim,Mayoşort & Mayo,Mayoşort & Mayo,0,2023-08-14,154,463.1743529411764,454.54,0.017153458412201516,0.006344468787135731
2.0,24.0,23.0,Giyim,Sweatshirt,Sweatshirt,0,2023-05-01,154,489.88176470588235,425.88,0.041688320866611395,0.03437454306583998
1.0,1.0,76.0,Ayakkabı,Ayakkabı,Spor Ayakkabı,1,2024-06-10,154,1321.6785714285713,1318.17,0.035649884542274246,0.026009480614316252
2.0,29.0,24.0,Giyim,Şort,Şort,0,2023-03-06,154,325.0865517241379,259.21,0.08115685311914478,0.05868979694564478
2.0,29.0,24.0,Giyim,Şort,Şort,2,2025-04-14,154,698.6969026548672,727.18,0.04564030200873786,0.05532947659383876
1.0,924.0,10.0,Ayakkabı,Terlik & Sandalet,Sandalet,2,2024-05-27,154,809.8426373626373,716.27,0.008102256803068066,0.007997445742926866
1.0,924.0,9.0,Ayakkabı,Terlik & Sandalet,Terlik,2,2023-01-30,154,398.26684210526315,259.25,0.01783021966569199,0.009907177643767924
1.0,1.0,3.0,Ayakkabı,Ayakkabı,Krampon,0,2025-02-24,154,2581.8772527472524,2362.73,0.005681509324573914,0.005943720350892475
